"fecha_UTC","hora_UTC","latitud(º)","longitud(º)","profundidad_km","magnitud_mb","magnitud_Ms","magnitud_Mw"
"17/10/1946","21:15:00.00","-13.5","-76","90","4.7","",""
"23/10/1946","20:00:00.00","-6.85","-78.46","20","3.8","",""
"27/10/1946","04:54:00.00","-12.4","-76.4","90","4.7","",""
"05/11/1946","02:30:00.00","-16.5","-71.7","18","3.4","",""
"10/11/1946","17:42:53.00","-8.47","-77.86","15","6.9","7.3","6.8"
"16/11/1946","09:59:00.00","-18.1","-70","30","4.2","",""
"16/11/1946","16:36:00.00","-11.83","-76.6","30","3.4","",""
"19/11/1946","08:48:00.00","-12.87","-76.406","90","5.6","",""
"05/12/1946","07:55:00.00","-12.395","-76.451","90","5","",""
"09/12/1946","15:05:00.00","-10.8","-78.1","40","4.3","",""
"10/12/1946","12:45:00.00","-5.4","-80.8","40","4.3","",""
"10/12/1946","18:45:00.00","-8.47","-77.72","25","3.5","",""
"13/12/1946","12:49:00.00","-6","-81.3","","5.6","",""
"14/12/1946","00:14:00.00","-4","-80.7","30","3.7","",""
"05/01/1947","19:52:00.00","-17.1","-71.5","30","4.2","",""
"08/01/1947","04:40:00.00","-12","-77.8","40","4.3","",""
"03/02/1947","16:43:00.00","-9.763","-76.418","40","4.3","",""
"09/02/1947","14:51:00.00","-11.6","-76","30","3.4","",""
"09/02/1947","15:18:00.00","-11.2","-75.4","15","4.3","",""
"24/02/1947","17:31:00.00","-15.31","-68.81","20","","6.8",""
"25/02/1947","08:55:00.00","-7.95","-77.7","25","4.3","",""
"26/02/1947","21:34:00.00","-4","-80.7","30","3.7","",""
"16/03/1947","01:15:00.00","-6.54","-78.62","25","3.3","",""
"27/03/1947","05:30:00.00","-12","-77.8","40","4.3","",""
"28/03/1947","08:40:00.00","-11.1","-74.8","30","3.8","",""
"01/04/1947","10:13:00.00","-11.2","-75.4","40","4","",""
"01/04/1947","14:17:00.00","-17.9","-70.7","70","4.6","",""
"03/04/1947","02:57:00.00","-11.2","-75.4","40","4","",""
"04/04/1947","03:15:00.00","-12","-77.8","40","4.5","",""
"06/04/1947","05:30:00.00","-11.4","-78.1","40","4.8","",""
"08/04/1947","01:30:00.00","-12","-77.8","40","4.3","",""
"08/04/1947","12:25:00.00","-11.721","-76.92","100","5","",""
"19/04/1947","08:06:00.00","-11.1","-74.8","30","4.8","",""
"20/04/1947","02:05:00.00","-13.5","-72.7","25","3.6","",""
"01/06/1947","22:21:00.00","-8.3","-75.1","30","4.2","",""
"05/06/1947","14:00:00.00","-8.48","-77.38","20","3.4","",""
"01/07/1947","14:30:00.00","-8.48","-77.38","25","3.3","",""
"05/07/1947","07:20:00.00","-17.4","-70.2","110","4.9","",""
"06/07/1947","01:00:00.00","-8.48","-77.38","25","3.3","",""
"12/07/1947","04:27:00.00","-9.392","-79.122","40","","6.1",""
"19/07/1947","15:10:00.00","-10.8","-78.1","40","4.1","",""
"22/07/1947","15:15:00.00","-13.34","-76","90","4.2","",""
"23/07/1947","02:25:00.00","-13.5","-76","90","4.7","",""
"25/07/1947","09:55:00.00","-8.2","-79.3","40","4.5","",""
"29/07/1947","12:45:00.00","-8.33","-77.5","20","4.2","",""
